Name,Freq,Gen,Title
dr,33564,unknown,ACAD
john,24838,male,
david,21894,male,
rev,17294,unknown,YES
james,16985,male,
michael,12663,male,
andrew,12488,male,
richard,11626,male,
elizabeth,11300,female,
paul,11145,male,
professor,10637,unknown,ACAD
peter,10527,male,
jane,9797,female,
robert,9617,male,
mark,9292,male,
william,8327,male,
mary,7819,mostly_female,
christopher,7761,male,
stephen,7703,male,
thomas,7321,male,
louise,6941,female,
anne,6819,female,
sarah,6634,female,
simon,6411,male,
anthony,6309,male,
ian,6291,male,
charles,6269,male,
ann,6215,female,
martin,6087,male,
jonathan,5930,male,
susan,5844,female,
margaret,5574,female,
helen,5442,female,
edward,5114,male,
philip,5107,male,
nicholas,5035,male,
smith,4699,unknown,
jones,4387,male,
matthew,4194,male,
alan,4150,male,
catherine,4076,female,
mr,4060,unknown,
george,3746,male,
timothy,3710,male,
alexander,3677,male,
graham,3629,male,
daniel,3614,male,
claire,3609,female,
the,3419,mostly_female,
rachel,3404,female,
alison,3386,female,
ruth,3357,female,
emma,3321,female,
williams,3312,unknown,
joseph,3112,male,
caroline,3066,female,
neil,2976,male,
singh,2976,unknown,
patrick,2777,male,
stuart,2763,male,
rebecca,2743,female,
victoria,2723,female,
karen,2695,female,
taylor,2633,mostly_male,
jennifer,2617,female,
christine,2543,female,
clare,2514,female,
brown,2508,unknown,
patricia,2491,female,
nigel,2423,male,
marie,2408,female,
francis,2381,male,
nicola,2365,female,
obe,2359,unknown,YES
sister,2354,unknown,YES
davies,2337,unknown,
keith,2331,male,
benjamin,2283,male,
lee,2283,mostly_male,
janet,2226,female,
jeremy,2170,male,
julie,2135,female,
henry,2124,male,
brian,2082,male,
lucy,2065,female,
laura,2055,female,
steven,2047,male,
mbe,2022,unknown,YES
adam,2006,male,
colin,1992,male,
kevin,1978,male,
roger,1972,male,
frances,1968,female,
fiona,1946,female,
linda,1939,female,
lewis,1928,male,
anna,1925,female,
sir,1923,unknown,YES
joanne,1918,female,
katherine,1897,female,
scott,1864,male,
howard,1864,male,
evans,1860,unknown,
wilson,1829,male,
deborah,1814,female,
cbe,1793,unknown,YES
angela,1786,female,
adrian,1774,male,
maria,1753,female,
hannah,1752,female,
gillian,1747,female,
kate,1744,female,
mohammed,1734,male,
amanda,1733,female,
charlotte,1731,female,
mrs,1729,unknown,
patel,1688,unknown,
judith,1682,female,
lisa,1675,female,
samuel,1667,male,
gordon,1651,male,
de,1636,andy,
johnson,1629,male,
oliver,1610,male,
walker,1609,male,
douglas,1590,male,
revd,1580,unknown,YES
roberts,1580,male,
michelle,1578,female,
jean,1578,male,
robinson,1569,unknown,
sally,1567,female,
joanna,1560,female,
rose,1558,female,
prof,1548,unknown,ACAD
kathryn,1531,female,
julia,1526,female,
ahmed,1509,male,
carol,1502,mostly_female,
jacqueline,1493,female,
geoffrey,1487,male,
lesley,1464,andy,
ali,1460,male,
barbara,1450,female,
julian,1380,male,
malcolm,1376,male,
russell,1360,male,
thompson,1359,unknown,
green,1356,unknown,
hugh,1341,male,
emily,1337,female,
edwards,1316,unknown,
owen,1315,male,
kenneth,1313,male,
alexandra,1307,female,
jayne,1303,female,
jackson,1303,male,
gary,1299,male,
harris,1292,male,
clark,1269,male,
chris,1256,mostly_male,
wright,1248,unknown,
khan,1246,unknown,
ba,1244,mostly_male,
morgan,1244,mostly_male,
clarke,1243,male,
robin,1239,mostly_male,
hughes,1237,unknown,
morris,1231,male,
heather,1217,female,
elaine,1215,female,
white,1213,unknown,
stewart,1209,male,
harrison,1196,male,
duncan,1193,male,
rosemary,1180,female,
ma,1175,andy,
samantha,1152,female,
arthur,1146,male,
sharon,1124,female,
sara,1123,female,
turner,1111,male,
lord,1107,unknown,YES
wendy,1104,female,
hall,1088,unknown,
ross,1087,male,
moore,1078,unknown,
clive,1074,male,
wood,1072,unknown,
gregory,1072,male,
cooper,1069,male,
of,1060,unknown,
phillips,1054,unknown,
lloyd,1046,male,
canon,1045,unknown,
davis,1041,male,
gareth,1034,male,
kelly,1032,mostly_female,
leslie,1031,mostly_female,
watson,1025,unknown,
hill,1023,unknown,
mitchell,1014,male,
dawn,1011,female,
lawrence,1009,male,
kathleen,1008,female,
amy,1006,female,
rt,1005,unknown,
raymond,1001,male,
king,1000,male,
craig,999,male,
reverend,998,unknown,YES
shah,995,unknown,
joy,990,female,
hilary,986,female,
frederick,985,male,
suzanne,982,female,
allen,979,male,
joan,978,female,
kaur,975,male,
jessica,971,female,
ward,961,male,
sophie,960,female,
barry,957,male,
eleanor,953,female,
bsc,949,unknown,ACAD
sandra,948,female,
guy,932,male,
derek,932,male,
alice,932,female,
diane,921,female,
pamela,918,female,
tim,915,male,
campbell,898,male,
miller,897,unknown,
may,895,female,
jill,891,female,
norman,889,male,
parker,886,mostly_male,
bell,886,female,
dominic,880,male,
stephanie,875,female,
pauline,875,female,
trevor,873,male,
baker,867,unknown,
sue,861,female,
bailey,859,mostly_female,
price,858,male,
valerie,853,female,
roy,846,male,
gill,841,mostly_female,
murray,837,male,
grant,835,male,
hussain,832,male,
jeffrey,832,male,
andrea,829,female,
luke,826,male,
jason,822,male,
mohamed,822,male,
jack,821,male,
trust,819,unknown,
antony,818,male,
natalie,815,female,
dl,814,unknown,
bennett,812,male,
anderson,808,male,
steve,806,male,
marshall,805,male,
bernard,802,male,
tom,800,male,
grace,799,female,
van,799,mostly_male,
lynn,792,mostly_female,
young,788,mostly_female,
ellis,786,male,
adams,784,unknown,
iain,782,male,
alastair,778,male,
ben,771,male,
cook,770,unknown,
melanie,770,female,
carter,769,male,
kay,767,male,
shaw,766,unknown,
sean,766,male,
denise,754,female,
eric,754,male,
allan,750,male,
paula,748,female,
carolyn,744,female,
ashley,741,mostly_female,
griffiths,740,unknown,
sheila,738,female,
katie,737,female,
frank,733,male,
dame,730,unknown,YES
diana,729,female,
alex,726,male,
dean,725,male,
abdul,725,male,
lady,722,unknown,YES
jacob,721,male,
darren,718,male,
gavin,717,male,
joshua,715,male,
mike,706,male,
harvey,705,male,
harry,704,male,
hon,704,unknown,YES
tracey,704,mostly_female,
limited,703,unknown,
bruce,700,male,
ronald,695,male,
nick,693,male,
spencer,693,male,
