date,maxt,mint,rain,year,month,source_file,Name,Location,Opened
1941-01-01,,,74.7,1941.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1941-02-01,,,69.1,1941.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1941-03-01,,,76.2,1941.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1941-04-01,,,33.7,1941.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1941-05-01,,,51.3,1941.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1941-06-01,,,25.7,1941.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1941-07-01,,,53.9,1941.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1941-08-01,,,91.8,1941.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1941-09-01,,,25.5,1941.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1941-10-01,,,106.2,1941.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1941-11-01,,,92.3,1941.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1941-12-01,,,86.5,1941.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-01-01,5.8,2.1,114.0,1942.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-02-01,4.2,-0.6,13.8,1942.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-03-01,9.7,3.7,58.0,1942.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-04-01,13.1,5.3,42.5,1942.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-05-01,14.0,6.9,101.1,1942.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-06-01,16.2,9.9,2.3,1942.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-07-01,17.4,11.3,70.2,1942.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-08-01,18.7,12.3,78.5,1942.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-09-01,16.4,10.7,146.8,1942.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-10-01,13.1,8.2,131.1,1942.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-11-01,9.2,4.6,19.8,1942.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1942-12-01,9.6,6.2,183.9,1942.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-01-01,8.2,3.5,176.7,1943.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-02-01,8.9,4.6,65.4,1943.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-03-01,10.2,4.1,21.0,1943.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-04-01,13.0,6.8,39.4,1943.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-05-01,14.1,7.4,83.5,1943.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-06-01,15.9,9.8,58.7,1943.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-07-01,18.6,11.7,57.3,1943.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-08-01,18.1,12.0,86.5,1943.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-09-01,15.8,10.0,127.1,1943.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-10-01,13.6,8.3,120.3,1943.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-11-01,9.7,5.9,93.0,1943.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1943-12-01,6.9,2.7,63.6,1943.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-01-01,9.2,5.8,87.9,1944.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-02-01,6.5,3.1,34.0,1944.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-03-01,8.6,3.1,17.0,1944.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-04-01,12.7,6.6,44.9,1944.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-05-01,13.8,7.0,37.2,1944.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-06-01,15.4,9.9,53.2,1944.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-07-01,18.2,12.6,54.5,1944.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-08-01,19.7,12.8,100.2,1944.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-09-01,15.7,10.3,80.7,1944.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-10-01,12.1,7.8,131.9,1944.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-11-01,9.5,5.8,156.2,1944.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1944-12-01,7.7,4.3,71.9,1944.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-01-01,4.5,1.3,58.8,1945.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-02-01,9.6,5.1,110.7,1945.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-03-01,10.4,5.2,34.3,1945.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-04-01,13.3,6.6,55.1,1945.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-05-01,14.3,8.3,82.8,1945.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-06-01,16.5,10.2,68.5,1945.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-07-01,17.4,12.2,130.6,1945.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-08-01,18.1,11.9,41.9,1945.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-09-01,17.1,11.3,61.2,1945.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-10-01,15.2,9.1,66.9,1945.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-11-01,10.7,5.6,34.7,1945.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1945-12-01,8.9,5.1,116.2,1945.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-01-01,6.9,2.2,138.0,1946.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-02-01,8.2,4.9,78.6,1946.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-03-01,8.7,2.6,28.9,1946.0,3.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-04-01,12.8,6.3,30.9,1946.0,4.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-05-01,14.1,6.7,59.3,1946.0,5.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-06-01,14.6,8.8,79.4,1946.0,6.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-07-01,17.1,11.2,62.6,1946.0,7.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-08-01,16.3,11.0,121.6,1946.0,8.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-09-01,16.3,11.3,103.1,1946.0,9.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-10-01,,8.2,40.9,1946.0,10.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-11-01,,7.6,152.3,1946.0,11.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1946-12-01,7.2,3.1,106.6,1946.0,12.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1947-01-01,5.8,1.4,122.9,1947.0,1.0,Aberporth,Aberporth,"-4.57, 52.139",1941
1947-02-01,,-2.7,53.9,1947.0,2.0,Aberporth,Aberporth,"-4.57, 52.139",1941
