date,maxt,mint,rain,year,month,stations_used
1883-01-01,6.875,2.125,81.82499999999999,1883,1,"Armagh, Durham, Oxford, Sheffield"
1883-02-01,8.24,2.6399999999999997,82.9,1883,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1883-03-01,5.9799999999999995,-1.04,43.02,1883,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1883-04-01,12.14,3.5799999999999996,43.72,1883,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1883-05-01,13.940000000000001,5.54,53.160000000000004,1883,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1883-06-01,16.96,8.76,64.74,1883,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1883-07-01,17.66,9.940000000000001,76.46000000000001,1883,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1883-08-01,18.6,10.559999999999999,52.279999999999994,1883,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1883-09-01,15.8,9.379999999999999,108.08,1883,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1883-10-01,12.42,5.9,91.84,1883,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1883-11-01,8.66,2.82,94.88000000000001,1883,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1883-12-01,7.375,2.425,69.1,1883,12,"Armagh, Oxford, Sheffield, Stornoway"
1884-01-01,8.16,3.3,121.34,1884,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1884-02-01,7.8,2.1,63.220000000000006,1884,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1884-03-01,9.379999999999999,2.68,68.62,1884,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1884-04-01,10.8,3.02,44.38,1884,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1884-05-01,15.02,5.58,54.239999999999995,1884,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1884-06-01,17.5,8.52,37.480000000000004,1884,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1884-07-01,19.64,11.080000000000002,82.02000000000001,1884,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1884-08-01,20.759999999999998,11.1,52.1,1884,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1884-09-01,17.5,9.559999999999999,54.660000000000004,1884,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1884-10-01,12.379999999999999,5.68,67.44,1884,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1884-11-01,8.48,3.0799999999999996,70.72,1884,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1884-12-01,6.540000000000001,1.78,79.02000000000001,1884,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-01-01,5.220000000000001,0.8800000000000001,62.56,1885,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-02-01,8.14,1.8800000000000001,78.82000000000001,1885,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-03-01,8.1,0.64,55.98,1885,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-04-01,11.440000000000001,3.2399999999999998,47.38,1885,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-05-01,12.319999999999999,4.08,66.55999999999999,1885,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-06-01,17.34,8.120000000000001,54.339999999999996,1885,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-07-01,20.080000000000002,10.42,36.22,1885,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-08-01,17.06,9.040000000000001,51,1885,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-09-01,15.66,7.359999999999999,109.9,1885,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-10-01,10.08,3.9,123.7,1885,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-11-01,8.26,3.2600000000000002,64.7,1885,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1885-12-01,6.720000000000001,1.1400000000000001,56.6,1885,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-01-01,4.4799999999999995,-0.7,116.44000000000001,1886,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-02-01,4.58,-0.72,34.760000000000005,1886,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-03-01,6.92,0.76,63.82000000000001,1886,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-04-01,10.940000000000001,2.78,50.32,1886,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-05-01,13.440000000000001,5.279999999999999,100.32000000000001,1886,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-06-01,16.82,8.26,34.4,1886,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-07-01,19.419999999999998,10.580000000000002,97.17999999999999,1886,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-08-01,19.119999999999997,10.6,51.879999999999995,1886,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-09-01,16.54,8.74,63.779999999999994,1886,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-10-01,13.540000000000001,7.4,114.25999999999999,1886,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-11-01,9.419999999999998,3.5,82.52000000000001,1886,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1886-12-01,4.7,-0.44,133.88,1886,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-01-01,5.5600000000000005,0.12000000000000002,83,1887,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-02-01,7.82,1.1,40.7,1887,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-03-01,7.5,0.31999999999999995,47.82,1887,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-04-01,10.459999999999999,2.1399999999999997,46,1887,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-05-01,13.1,5.5,45.32,1887,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-06-01,20.14,9.72,21.139999999999997,1887,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-07-01,21.48,11.540000000000001,51.52,1887,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-08-01,19.46,9.76,63.06,1887,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-09-01,14.940000000000001,7.44,74.3,1887,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-10-01,10.5,3.9200000000000004,70.9,1887,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1887-11-01,7.459999999999999,2,62.2,1887,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
