year,month,maxt,mint,date
1883.0,1.0,6.875,2.125,4
1883.0,2.0,8.24,2.6399999999999997,5
1883.0,3.0,5.9799999999999995,-1.04,5
1883.0,4.0,12.14,3.5799999999999996,5
1883.0,5.0,13.940000000000001,5.54,5
1883.0,6.0,16.96,8.76,5
1883.0,7.0,17.66,9.940000000000001,5
1883.0,8.0,18.6,10.559999999999999,5
1883.0,9.0,15.8,9.379999999999999,5
1883.0,10.0,12.42,5.9,5
1883.0,11.0,8.66,2.82,5
1883.0,12.0,7.375,2.425,4
1884.0,1.0,8.16,3.3,5
1884.0,2.0,7.8,2.1,5
1884.0,3.0,9.379999999999999,2.68,5
1884.0,4.0,10.8,3.02,5
1884.0,5.0,15.02,5.58,5
1884.0,6.0,17.5,8.52,5
1884.0,7.0,19.64,11.080000000000002,5
1884.0,8.0,20.759999999999998,11.1,5
1884.0,9.0,17.5,9.559999999999999,5
1884.0,10.0,12.379999999999999,5.68,5
1884.0,11.0,8.48,3.0799999999999996,5
1884.0,12.0,6.540000000000001,1.78,5
1885.0,1.0,5.220000000000001,0.8800000000000001,5
1885.0,2.0,8.14,1.8800000000000001,5
1885.0,3.0,8.1,0.64,5
1885.0,4.0,11.440000000000001,3.2399999999999998,5
1885.0,5.0,12.319999999999999,4.08,5
1885.0,6.0,17.34,8.120000000000001,5
1885.0,7.0,20.080000000000002,10.42,5
1885.0,8.0,17.06,9.040000000000001,5
1885.0,9.0,15.66,7.359999999999999,5
1885.0,10.0,10.08,3.9,5
1885.0,11.0,8.26,3.2600000000000002,5
1885.0,12.0,6.720000000000001,1.1400000000000001,5
1886.0,1.0,4.4799999999999995,-0.7,5
1886.0,2.0,4.58,-0.72,5
1886.0,3.0,6.92,0.76,5
1886.0,4.0,10.940000000000001,2.78,5
1886.0,5.0,13.440000000000001,5.279999999999999,5
1886.0,6.0,16.82,8.26,5
1886.0,7.0,19.419999999999998,10.580000000000002,5
1886.0,8.0,19.119999999999997,10.6,5
1886.0,9.0,16.54,8.74,5
1886.0,10.0,13.540000000000001,7.4,5
1886.0,11.0,9.419999999999998,3.5,5
1886.0,12.0,4.7,-0.44000000000000006,5
1887.0,1.0,5.5600000000000005,0.12000000000000002,5
1887.0,2.0,7.82,1.1,5
1887.0,3.0,7.5,0.31999999999999995,5
1887.0,4.0,10.459999999999999,2.1399999999999997,5
1887.0,5.0,13.1,5.5,5
1887.0,6.0,20.14,9.72,5
1887.0,7.0,21.48,11.540000000000001,5
1887.0,8.0,19.46,9.76,5
1887.0,9.0,14.940000000000001,7.44,5
1887.0,10.0,10.5,3.9200000000000004,5
1887.0,11.0,7.459999999999999,2.0,5
1887.0,12.0,5.7,0.27999999999999997,5
1888.0,1.0,6.62,1.36,5
1888.0,2.0,4.720000000000001,-0.32,5
1888.0,3.0,5.840000000000001,0.08000000000000003,5
1888.0,4.0,9.64,2.7399999999999998,5
1888.0,5.0,14.64,5.359999999999999,5
1888.0,6.0,16.14,7.840000000000001,5
1888.0,7.0,16.34,9.2,5
1888.0,8.0,17.3,9.3,5
1888.0,9.0,15.559999999999999,7.68,5
1888.0,10.0,12.02,4.5,5
1888.0,11.0,9.620000000000001,4.74,5
1888.0,12.0,7.74,2.56,5
1889.0,1.0,6.659999999999999,1.3399999999999999,5
1889.0,2.0,5.92,0.019999999999999997,5
1889.0,3.0,8.24,1.4,5
1889.0,4.0,9.84,3.28,5
1889.0,5.0,16.080000000000002,7.9,5
1889.0,6.0,18.96,9.48,5
1889.0,7.0,18.3,9.7,5
1889.0,8.0,17.8,10.48,5
1889.0,9.0,15.819999999999999,8.6,5
1889.0,10.0,11.559999999999999,4.92,5
1889.0,11.0,9.4,4.08,5
1889.0,12.0,6.76,1.44,5
