State,Station,Max Temp (C),DATE,Max Temp (F),YEAR
OHIO,DAYTON MCD,46.7,1940-01-20,116.06,1940
MINNESOTA,TOWER 2S,42.2,1901-01-29,107.96000000000001,1901
MICHIGAN,BIG RAPIDS WTP,38.9,1982-01-11,102.02,1982
COLORADO,TRINIDAD,38.3,1928-01-31,100.94,1928
KANSAS,YATES CTR,37.8,1993-01-03,100.03999999999999,1993
VIRGINIA,WOODSTOCK 2 NE,37.8,1935-01-21,100.03999999999999,1935
MISSISSIPPI,STATE UNIV,37.2,1996-01-25,98.96000000000001,1996
TEXAS,RIO GRANDE CITY,36.1,1997-01-04,96.98,1997
CALIFORNIA,INDIO FIRE STN,36.1,1971-01-19,96.98,1971
LOUISIANA,FRANKLIN 3 NW,35.6,1906-01-22,96.08000000000001,1906
TENNESSEE,JACKSON EXP STN,34.4,1912-01-27,93.91999999999999,1912
FLORIDA,INVERNESS 3 SE,33.3,1922-01-22,91.94,1922
OKLAHOMA,HEALDTON 3 E,32.2,1911-01-31,89.96000000000001,1911
ARIZONA,GILA BEND 2SE,32.2,1956-01-10,89.96000000000001,1956
IOWA,INDIANOLA 1SW,32.2,1897-01-24,89.96000000000001,1897
WISCONSIN,MEDFORD,32.2,1902-01-07,89.96000000000001,1902
ARKANSAS,ARKADELPHIA 2 N,31.7,1938-01-19,89.06,1938
INDIANA,OOLITIC PURDUE EX FM,31.1,1901-01-15,87.98,1901
UTAH,FILLMORE,31.1,1929-01-17,87.98,1929
NEW MEXICO,CARLSBAD,31.1,1911-01-30,87.98,1911
NEW YORK,OGDENSBURG 4 NE,31.1,1901-01-23,87.98,1901
SOUTH CAROLINA,NEWBERRY,30.0,1907-01-27,86.0,1907
NEBRASKA,CAMBRIDGE,30.0,1997-01-31,86.0,1997
NORTH CAROLINA,MARION,30.0,1927-01-24,86.0,1927
GEORGIA,BRUNSWICK,30.0,1972-01-10,86.0,1972
ALABAMA,SELMA,29.4,1927-01-22,84.91999999999999,1927
WEST VIRGINIA,BUCKHANNON,29.4,1913-01-16,84.91999999999999,1913
MARYLAND,PRINCESS ANNE,27.8,2000-01-04,82.04,2000
OREGON,HOOD RVR EXP STN,27.8,2004-01-01,82.04,2004
MISSOURI,ST CHARLES ELM PT,27.8,2006-01-09,82.04,2006
KENTUCKY,RUSSELLVILLE,27.8,2013-01-16,82.04,2013
MONTANA,CHINOOK,27.8,1984-01-28,82.04,1984
NEW JERSEY,HIGHTSTOWN 2 W,27.2,1937-01-14,80.96,1937
ILLINOIS,CASEY,26.7,1907-01-03,80.06,1907
SOUTH DAKOTA,SPEARFISH,26.1,1921-01-19,78.98,1921
PENNSYLVANIA,CHAMBERSBURG 1 ESE,25.0,1932-01-13,77.0,1932
DELAWARE,DOVER,25.0,1907-01-07,77.0,1907
WASHINGTON,KENNEWICK,23.3,1896-01-10,73.94,1896
NEVADA,EUREKA,22.8,1990-01-25,73.04,1990
WYOMING,CHUGWATER,22.8,2015-01-28,73.04,2015
MASSACHUSETTS,BROCKTON,21.7,2020-01-12,71.06,2020
IDAHO,RIGGINS,21.1,2024-01-31,69.98,2024
NEW HAMPSHIRE,NASHUA 2 NNW,20.6,2007-01-07,69.08,2007
RHODE ISLAND,KINGSTON,20.6,2020-01-12,69.08,2020
CONNECTICUT,STORRS,20.0,1906-01-21,68.0,1906
NORTH DAKOTA,STEELE 4N,20.0,1917-01-05,68.0,1917
VERMONT,WOODSTOCK,19.4,1950-01-04,66.92,1950
MAINE,MADISON,17.8,1932-01-14,64.04,1932
ALASKA,NOME AP,10.6,2014-01-27,51.08,2014
IOWA,NORTHWOOD,40.6,2005-02-03,105.08000000000001,2005
GEORGIA,WAYNESBORO 2 S,40.6,1919-02-03,105.08000000000001,1919
TEXAS,RIO GRANDE CITY,40.0,1902-02-26,104.0,1902
NEW MEXICO,CARLSBAD,37.8,1904-02-24,100.03999999999999,1904
CALIFORNIA,INDIO FIRE STN,37.8,1986-02-27,100.03999999999999,1986
MISSISSIPPI,HERNANDO,37.2,1911-02-28,98.96000000000001,1911
MINNESOTA,ST PETER,37.2,1990-02-04,98.96000000000001,1990
FLORIDA,TARPON SPGS SEWAGE PLT,36.1,1997-02-28,96.98,1997
ARIZONA,PARKER,35.6,1904-02-24,96.08000000000001,1904
ARKANSAS,SUBIACO,35.0,1917-02-27,95.0,1917
OKLAHOMA,HEALDTON 3 E,34.4,1918-02-24,93.91999999999999,1918
NEBRASKA,SPRINGVIEW 2NW,33.3,1995-02-24,91.94,1995
NORTH DAKOTA,NAPOLEON,33.3,1933-02-13,91.94,1933
LOUISIANA,MINDEN,33.3,1918-02-25,91.94,1918
SOUTH DAKOTA,IPSWICH,32.8,1899-02-26,91.03999999999999,1899
KANSAS,ASHLAND,32.8,2016-02-19,91.03999999999999,2016
IDAHO,ASHTON 1N,32.2,1953-02-03,89.96000000000001,1953
SOUTH CAROLINA,BATESBURG,32.2,1914-02-15,89.96000000000001,1914
COLORADO,MONTROSE #2,32.2,1907-02-27,89.96000000000001,1907
MISSOURI,JEFFERSON CITY WTP,31.7,1930-02-24,89.06,1930
NORTH CAROLINA,TARBORO 1 S,31.7,1991-02-07,89.06,1991
VIRGINIA,BURKES GARDEN,31.1,1946-02-15,87.98,1946
NEW YORK,PORT JERVIS,30.6,1991-02-17,87.08000000000001,1991
ALABAMA,GREENSBORO,30.6,1962-02-13,87.08000000000001,1962
NEVADA,YERINGTON,30.0,2009-02-20,86.0,2009
TENNESSEE,BOLIVAR WTR WKS,29.4,1954-02-10,84.91999999999999,1954
MONTANA,BRIDGER 2 N,29.4,1947-02-02,84.91999999999999,1947
WEST VIRGINIA,BUCKHANNON,29.4,1937-02-02,84.91999999999999,1937
UTAH,ST GEORGE,28.9,1986-02-25,84.02,1986
MARYLAND,HAGERSTOWN 1E,28.3,2018-02-21,82.94,2018
ILLINOIS,WHITE HALL 1 E,28.3,1932-02-10,82.94,1932
KENTUCKY,HOPKINSVILLE,27.8,1962-02-14,82.04,1962
DELAWARE,DOVER,26.7,1930-02-25,80.06,1930
NEW JERSEY,NEWARK LIBERTY INTL AP,26.7,2018-02-21,80.06,2018
OHIO,WAVERLY,26.7,2018-02-21,80.06,2018
INDIANA,SEYMOUR 1 WSW,26.7,1937-02-08,80.06,1937
WYOMING,BUFFALO,26.7,1998-02-09,80.06,1998
OREGON,RIDDLE,26.7,1992-02-26,80.06,1992
PENNSYLVANIA,EVERETT,26.7,2018-02-22,80.06,2018
WASHINGTON,REPUBLIC,25.6,1937-02-01,78.08,1937
MASSACHUSETTS,AMHERST,25.6,2018-02-22,78.08,2018
NEW HAMPSHIRE,NASHUA 2 NNW,24.4,2018-02-22,75.92,2018
MICHIGAN,OWOSSO WWTP,23.3,2024-02-28,73.94,2024
WISCONSIN,BELOIT,23.3,2024-02-28,73.94,2024
RHODE ISLAND,KINGSTON,22.8,2023-02-16,73.04,2023
CONNECTICUT,STORRS,20.6,1954-02-16,69.08,1954
VERMONT,CORNWALL,18.9,2017-02-26,66.02,2017
MAINE,JACKMAN,18.3,2018-02-22,64.94,2018
ALASKA,NOME AP,8.9,1986-02-13,48.02,1986
TEXAS,RIO GRANDE CITY,42.2,1902-03-14,107.96000000000001,1902
CALIFORNIA,INDIO FIRE STN,40.0,1916-03-10,104.0,1916
ARIZONA,PARKER,38.9,1930-03-26,102.02,1930
NEBRASKA,MADRID,38.3,1910-03-21,100.94,1910
KANSAS,ASHLAND,37.8,1907-03-21,100.03999999999999,1907
KENTUCKY,ASHLAND,37.8,1990-03-13,100.03999999999999,1990
OKLAHOMA,ENID,37.8,1907-03-19,100.03999999999999,1907
FLORIDA,PLANT CITY,37.2,1907-03-24,98.96000000000001,1907
ARKANSAS,EL DORADO GOODWIN FLD,37.2,1927-03-20,98.96000000000001,1927
WASHINGTON,SEDRO-WOOLLEY,37.2,2023-03-11,98.96000000000001,2023
WEST VIRGINIA,GLENVILLE,37.2,1988-03-13,98.96000000000001,1988
SOUTH CAROLINA,DARLINGTON,37.2,1907-03-23,98.96000000000001,1907
OREGON,HEADWORKS PORTLAND WTR B,37.2,1989-03-26,98.96000000000001,1989
MISSISSIPPI,HATTIESBURG 5SW,37.2,1907-03-19,98.96000000000001,1907
GEORGIA,BRUNSWICK,37.2,1907-03-23,98.96000000000001,1907
NEW MEXICO,CARLSBAD,36.7,1946-03-31,98.06,1946
LOUISIANA,CALHOUN 2 N,36.1,1937-03-18,96.98,1937
NORTH CAROLINA,FAYETTEVILLE (PWC),36.1,1907-03-29,96.98,1907
MISSOURI,JEFFERSON CITY WTP,36.1,1929-03-24,96.98,1929
COLORADO,HOLLY,35.6,1907-03-19,96.08000000000001,1907
SOUTH DAKOTA,TYNDALL,35.6,1943-03-30,96.08000000000001,1943
OHIO,PORTSMOUTH-SCIOTOVILLE,35.6,1907-03-23,96.08000000000001,1907
MICHIGAN,PONTIAC WWTP,34.4,1992-03-17,93.91999999999999,1992
VIRGINIA,CHARLOTTESVILLE 2W,34.4,1907-03-29,93.91999999999999,1907
ILLINOIS,HARRISBURG,34.4,1929-03-24,93.91999999999999,1929
TENNESSEE,CLARKSVILLE WWTP,34.4,1929-03-24,93.91999999999999,1929
ALABAMA,CLANTON,33.9,1907-03-30,93.02,1907
MINNESOTA,ST PETER,33.3,1913-03-29,91.94,1913
NEW YORK,INDIAN LAKE 2SW,33.3,1926-03-22,91.94,1926
PENNSYLVANIA,EVERETT,33.3,1907-03-24,91.94,1907
IOWA,CLARINDA,33.3,1907-03-26,91.94,1907
INDIANA,1 WSW PRINCETON,32.8,1929-03-24,91.03999999999999,1929
UTAH,ST GEORGE,32.8,2004-03-21,91.03999999999999,2004
NEW JERSEY,MOORESTOWN 4 E,32.8,1998-03-30,91.03999999999999,1998
NEVADA,MINA,32.2,2010-03-18,89.96000000000001,2010
MASSACHUSETTS,HAVERHILL,32.2,1998-03-31,89.96000000000001,1998
MARYLAND,HAGERSTOWN 1E,31.7,1998-03-30,89.06,1998
WISCONSIN,PRAIRIE DU CHIEN,31.7,1895-03-29,89.06,1895
NEW HAMPSHIRE,DURHAM,31.7,1998-03-31,89.06,1998
DELAWARE,DOVER,31.1,1921-03-27,87.98,1921
NORTH DAKOTA,NAPOLEON,30.6,1910-03-23,87.08000000000001,1910
